"response"	"anonyme_id"	"type"	"ORDER"
"4573"	"MCHECHE"	1399	"S"	81
"2703"	"KOLEKOLE"	1399	"S"	82
"2117"	"KICHUNA"	1399	"S"	83
"1384"	"GEGE"	1399	"S"	84
"1053"	"DAGAA MSUMARI"	1399	"S"	85
"8288"	"MTURUTURU"	1399	"S"	86
"9469"	"NGISI"	1399	"S"	87
"794"	"CHOE"	1399	"S"	88
"795"	"CHOE"	1399	"S"	89
"11919"	"TONDO"	1399	"D"	90
"8019"	"MTI JUU"	1399	"D"	91
"10301"	"PAKA"	1949	"W"	1
"4372"	"MBUZI"	1949	"W"	2
"9596"	"NGOMBE"	1949	"W"	3
"11609"	"SUNGURA"	1949	"W"	4
"10130"	"NYOKA"	1949	"D"	5
"3099"	"KUKU"	1949	"N"	6
"10798"	"POPO"	1949	"N"	7
"8977"	"MWEWE"	1949	"N"	8
"2373"	"KIPANGA"	1949	"N"	9
"2654"	"KOHO"	1949	"N"	10
"2190"	"KIHODI"	1949	"N"	11
"33"	"BABA WATOTO"	1949	"N"	12
"11233"	"SAUTI"	1949	"N"	13
"11999"	"TONGO"	1949	"N"	14
"715"	"CHECHELE"	1949	"N"	15
"2081"	"KIBULUU"	1949	"N"	16
"871"	"CHOZI"	1949	"N"	17
"3395"	"KWECHE"	1949	"N"	18
"6573"	"MNANA"	1949	"N"	19
"2106"	"KICHONGA"	1949	"N"	20
"9883"	"NJIWA"	1949	"N"	21
"10877"	"PUGI"	1949	"N"	22
"2980"	"KONGO MAJOKA"	1949	"N"	23
"3315"	"KWARARA"	1949	"N"	24
"2919"	"KONGO"	1949	"N"	25
"11470"	"SIMBA"	1949	"W"	26
"2029"	"KIBOKO"	1949	"W"	27
"915"	"CHUI"	1949	"S"	28
"11652"	"SWALA"	1949	"W"	29
"11867"	"TEMBO"	1949	"S"	30
"11551"	"SISIMIZI"	1949	"D"	31
"10239"	"NZI"	1949	"N"	32
"4812"	"MCHOCHA"	1949	"M"	33
"5248"	"MFENESI"	1949	"M"	34
"6327"	"MKWAJU"	1949	"M"	35
"3931"	"MBIRIMBI"	1949	"M"	36
"8264"	"MTUNGUJA"	1949	"M"	37
"5498"	"MGOMBA"	1949	"M"	38
"9091"	"MZAMBARAU"	1949	"M"	39
"6274"	"MKUU WA USIKU"	1949	"M"	40
"8850"	"MVUMANYUKI"	1949	"M"	41
"8612"	"MUHINA MWITU"	1949	"M"	42
"6753"	"MNAZI"	1949	"M"	43
"4865"	"MCHONGOMA"	1949	"M"	44
"6230"	"MKUNGUMA"	1949	"M"	45
"8436"	"MUEMBE"	1949	"M"	46
"7621"	"MSHELISHELI"	1949	"M"	47
"9275"	"NDIZI"	1949	"M"	48
"7552"	"MSHELISHELI"	1949	"M"	49
"5310"	"MFENESI"	1949	"M"	50
"6306"	"MKWAJU"	1949	"M"	51
"7515"	"MSASA"	1949	"M"	52
"9109"	"MZAMBARAU"	1949	"M"	53
"4079"	"MBUNGO"	1949	"M"	54
"8214"	"MTUFAA"	1949	"M"	55
"5802"	"MKARAFUU"	1949	"M"	56
"5812"	"MKARAFUU"	1949	"M"	57
"6692"	"MNAZI"	1949	"M"	58
"8627"	"MUHOGO"	1949	"M"	59
"7173"	"MPESHENI"	1949	"M"	60
"7164"	"MPESHENI"	1949	"M"	61
"1945"	"KIAZI"	1949	"M"	62
"211"	"BEGU"	1949	"M"	63
"2553"	"KIVUMBASI"	1949	"M"	64
"7137"	"MPERA"	1949	"M"	65
"7114"	"MPERA"	1949	"M"	66
"3813"	"MBELUNGI"	1949	"M"	67
"3814"	"MBELUNGI"	1949	"M"	68
"7465"	"MSANAKA"	1949	"M"	69
"8087"	"MTOMONDO"	1949	"M"	70
"5743"	"MKANDAA"	1949	"M"	71
"7994"	"MTENGELE"	1949	"M"	72
"8176"	"MTONGA"	1949	"M"	73
"8161"	"MTONGA"	1949	"M"	74
"5092"	"MDALASINI"	1949	"M"	75
"8098"	"MTONDOO"	1949	"M"	76
"2433"	"KIRUKIA"	1949	"M"	77
"8871"	"MWALE"	1949	"M"	78
"8026"	"MTI ULAYA"	1949	"M"	79
"7207"	"MPESI"	1949	"M"	80
"4670"	"MCHENZA MSITU"	1949	"M"	81
"4731"	"MCHIKICHI"	1949	"M"	82
"4716"	"MCHIKICHI"	1949	"M"	83
"8803"	"MVULE"	1949	"M"	84
"4176"	"MBURA"	1949	"M"	85
"6524"	"MMUMUNYA"	1949	"M"	86
"5892"	"MKEKEWA"	1949	"M"	87
"7915"	"MTAKAWA"	1949	"M"	88
"7451"	"MSAJI"	1949	"M"	89
"4285"	"MBUYU"	1949	"M"	90
"4226"	"MBUYU"	1949	"M"	91
"12425"	"YOMBEYOMBE"	1949	"N"	92
"2250"	"KIJUNGU MALIKO"	1949	"N"	93
"3533"	"MAKAME KIJASI"	1949	"N"	94
"2528"	"KITWITWI"	1949	"N"	95
"9759"	"NGUVA"	1949	"S"	96
"769"	"CHEWA"	1949	"S"	97
"10480"	"PAPA"	1949	"S"	98
"10010"	"NYANGUMI"	1949	"S"	99
"10640"	"POMBOO"	1949	"S"	100
"1503"	"JODARI"	1949	"S"	101
"11336"	"SEHEWA"	1949	"S"	102
"9317"	"NDUARO"	1949	"S"	103
"406"	"CHAA"	1949	"S"	104
"11866"	"TEMBO"	1949	"S"	105
"9242"	"MZIRA"	1949	"S"	106
"8997"	"MWIVA"	1949	"S"	107
"310"	"BOMBO RESI"	1949	"S"	108
"12351"	"VIKUWA"	1949	"M"	109
"6120"	"MKUNGA"	1949	"S"	110
"8907"	"MWANI"	1949	"M"	111
"10746"	"PONO"	1949	"S"	112
"512"	"CHANGU"	1949	"S"	113
"1466"	"HUMSA"	1949	"S"	114
"12146"	"TUMBO"	1949	"S"	115
"9437"	"NGISI"	1949	"S"	116
"11081"	"PWEZA"	1949	"S"	117
"9539"	"NGOGO"	1949	"S"	118
"1400"	"GEGE"	1949	"S"	119
"10157"	"NYUKI"	1949	"D"	120
"12290"	"UVI"	1949	"D"	121
"1127"	"DUDU FUSO"	1949	"D"	122
"10811"	"POPO"	1949	"N"	123
"11173"	"SALILE"	1949	"N"	124
"130"	"BATA"	1949	"N"	125
"3830"	"MBIE"	1949	"M"	126
"12303"	"UWANGA"	1949	"M"	127
"4861"	"MCHOCHONI"	1949	"M"	128
"7785"	"MSONOBARI"	1949	"M"	129
"7366"	"MPUNGA"	1949	"M"	130
"6499"	"MMBU"	1949	"D"	131
"7770"	"MSISIMIZI"	1949	"M"	132
"7772"	"MSISIMIZI"	1949	"M"	133
"11676"	"TAA"	1949	"S"	134
"2312"	"KINYENGA"	1949	"S"	135
"4541"	"MCHAKUFA"	1949	"S"	136
"1693"	"KAMBA"	1949	"S"	137
"10753"	"PONZI"	1949	"M"	138
"1439"	"GONGEO"	1949	"S"	139
"11307"	"SEHEWA"	1949	"S"	140
"8912"	"MWANI MTIMBI"	1949	"M"	141
"2412"	"KIPEPEO"	1949	"D"	142
"1718"	"KAMBA UZI"	1949	"S"	143
"8769"	"MVINJE"	1949	"M"	144
"8780"	"MVINJE"	1949	"M"	145
"4209"	"MBURA"	1949	"M"	146
"6043"	"MKOROSHO"	1949	"M"	147
"6017"	"MKOROSHO"	1949	"M"	148
"396"	"BUSTANI"	1949	"M"	149
"7847"	"MSTAFELI"	1949	"M"	150
"4618"	"MCHEKWA"	1949	"M"	151
"5451"	"MFUU"	1949	"M"	152
"5467"	"MFUU"	1949	"M"	153
"6454"	"MLIMAU"	1949	"M"	154
"6459"	"MLIMAU"	1949	"M"	155
"6236"	"MKUNGUMA"	1949	"M"	156
"1823"	"KANGAJA"	1949	"S"	157
"2244"	"KIJUNGU MAFUTA"	1949	"S"	158
"803"	"CHONGOE"	1949	"S"	159
"11709"	"TANGARANGA"	1949	"S"	160
"1030"	"DAGAA"	1949	"S"	161
"7731"	"MSHOKISHOKI"	1949	"M"	162
"7750"	"MSHOKISHOKI"	1949	"M"	163
"9281"	"NDIZI"	1949	"M"	164
"10818"	"POPO"	1949	"N"	165
"11023"	"PWERA"	1949	"N"	166
"12121"	"TUMBILI"	9108	"W"	1
"2740"	"KOMBA"	9108	"W"	2
"11311"	"SEHEWA"	9108	"S"	3
"5116"	"MDAMUDAMU"	9108	"M"	4
"5588"	"MGOMBA"	9108	"M"	5
"9984"	"NYANGUMI"	9108	"S"	6
"9851"	"NJIWA"	9108	"N"	7
"11247"	"SAUTI"	9108	"N"	8
"11953"	"TONGO"	9108	"N"	9
"723"	"CHECHELE"	9108	"N"	10
"2338"	"KINYONYOFUO"	9108	"N"	11
"9312"	"NDUARO"	9108	"S"	12
"11868"	"TEMBO"	9108	"S"	13
"11425"	"SIMBA"	9108	"W"	14
"4847"	"MCHOCHA"	9108	"M"	15
"8484"	"MUEMBE"	9108	"M"	16
"4081"	"MBUNGO"	9108	"M"	17
"10942"	"PUNDA"	9108	"W"	18
"10984"	"PUNDAMILIA"	9108	"W"	19
"3321"	"KWAU"	9108	"N"	20
"3416"	"KWEMBE"	9108	"N"	21
"8575"	"MUEMBE SAKUA"	9108	"M"	22
"7624"	"MSHELISHELI"	9108	"M"	23
"7592"	"MSHELISHELI"	9108	"M"	24
"5270"	"MFENESI"	9108	"M"	25
"7801"	"MSOO"	9108	"M"	26
"5004"	"MCHUNGWA"	9108	"M"	27
"5065"	"MDALASINI"	9108	"M"	28
"6762"	"MNAZI"	9108	"M"	29
"2325"	"KINYONGA"	9108	"D"	30
"10575"	"PELELE"	9108	"W"	31
"760"	"CHESI"	9108	"W"	32
"11472"	"SIMBA"	9108	"W"	33
"5753"	"MKANDAA"	9108	"M"	34
"305"	"BOMBO"	9108	"S"	35
"1595"	"KAA"	9108	"D"	36
"6465"	"MLIMAU"	9108	"M"	37
"3845"	"MBIE"	9108	"M"	38
"1741"	"KAMBARE"	9108	"S"	39
"356"	"BULIBULI"	9108	"S"	40
"6103"	"MKUNGA"	9108	"S"	41
"1403"	"GEGE"	9108	"S"	42
"5811"	"MKARAFUU"	9108	"M"	43
"8134"	"MTONDOO"	9108	"M"	44
"7090"	"MPERA"	9108	"M"	45
"8467"	"MUEMBE"	9108	"M"	46
"10775"	"POPO"	9108	"N"	47
"11009"	"PWERA"	9108	"N"	48
"552"	"CHANJE"	9108	"N"	49
"6122"	"MKUNGA"	9108	"S"	50
"1617"	"KADONDO"	9108	"D"	51
"1681"	"KAMBA"	9108	"S"	52
"2992"	"KONYESA"	9108	"D"	53
"11415"	"SIMBA"	11115	"W"	1
"898"	"CHUI"	11115	"S"	2
"12184"	"TWIGA"	11115	"W"	3
"11660"	"SWALA"	11115	"W"	4
"12450"	"ZEBRA"	11115	"W"	5
"4421"	"MBUZI"	11115	"W"	6
"4480"	"MBWA"	11115	"W"	7
"10099"	"NYOKA"	11115	"D"	8
"3571"	"MAMBA"	11115	"W"	9
"443"	"CHAA"	11115	"S"	10
"9458"	"NGISI"	11115	"S"	11
"11058"	"PWEZA"	11115	"S"	12
"9949"	"NUNGU"	11115	"S"	13
"9226"	"MZIRA"	11115	"S"	14
"4579"	"MCHECHE"	11115	"S"	15
"9760"	"NGUVA"	11115	"S"	16
"1671"	"KAMAMBA"	11115	"S"	17
"10442"	"PAPA"	11115	"S"	18
"9825"	"NJIWA"	11115	"N"	19
"10875"	"PUGI"	11115	"N"	20
"821"	"CHORE"	11115	"N"	21
"11236"	"SAUTI"	11115	"N"	22
"11963"	"TONGO"	11115	"N"	23
"2651"	"KOHO"	11115	"N"	24
"93"	"BATA"	11115	"N"	25
"3085"	"KUKU"	11115	"N"	26
"11766"	"TATARA"	11115	"N"	27
"2082"	"KIBULUU"	11115	"N"	28
"5959"	"MKESHIA"	11115	"M"	29
"9153"	"MZAMBARAU"	11115	"M"	30
"7753"	"MSHOKISHOKI"	11115	"M"	31
"6752"	"MNAZI"	11115	"M"	32
"5007"	"MCHUNGWA"	11115	"M"	33
"4284"	"MBUYU"	11115	"M"	34
"6540"	"MMUMUNYA"	11115	"M"	35
"7426"	"MRIBA"	11115	"M"	36
"5567"	"MGOMBA"	11115	"M"	37
"3837"	"MBIE"	11115	"M"	38
"8251"	"MTUGUU"	11115	"M"	39
"4797"	"MCHOCHA"	11115	"M"	40
"5263"	"MFENESI"	11115	"M"	41
"8053"	"MTIKTI"	11115	"M"	42
"7951"	"MTANGO"	11115	"M"	43
"8419"	"MUEMBE"	11115	"M"	44
"11455"	"SIMBA"	11115	"W"	45
"939"	"CHUI"	11115	"S"	46
"12083"	"TUMBILI"	11115	"W"	47
"10023"	"NYANI"	11115	"W"	48
"12202"	"TWIGA"	11115	"W"	49
"4456"	"MBWA"	11115	"W"	50
"12449"	"ZEBRA"	11115	"W"	51
"11637"	"SWALA"	11115	"W"	52
"3559"	"MAMBA"	11115	"W"	53
"10095"	"NYOKA"	11115	"D"	54
"452"	"CHAA"	11115	"S"	55
"9483"	"NGISI"	11115	"S"	56
"11080"	"PWEZA"	11115	"S"	57
"10695"	"PONO"	11115	"S"	58
"10639"	"POMBOO"	11115	"S"	59
"9764"	"NGUVA"	11115	"S"	60
"3175"	"KUNDAJI"	11115	"S"	61
"10474"	"PAPA"	11115	"S"	62
"9214"	"MZIRA"	11115	"S"	63
"4583"	"MCHECHE"	11115	"S"	64
"7408"	"MRAMBA"	11115	"N"	65
"11771"	"TATARA"	11115	"N"	66
"11951"	"TONGO"	11115	"N"	67
"2663"	"KOHO"	11115	"N"	68
"157"	"BATA"	11115	"N"	69
"3072"	"KUKU"	11115	"N"	70
"2629"	"KOHO"	11115	"N"	71
"9819"	"NJIWA"	11115	"N"	72
"10882"	"PUGI"	11115	"N"	73
"825"	"CHORE"	11115	"N"	74
"5477"	"MFUU"	11115	"M"	75
"8409"	"MUEMBE"	11115	"M"	76
"6771"	"MNAZI"	11115	"M"	77
"4269"	"MBUYU"	11115	"M"	78
"4892"	"MCHUNGWA"	11115	"M"	79
"7677"	"MSHOKISHOKI"	11115	"M"	80
"3824"	"MBIE"	11115	"M"	81
"5503"	"MGOMBA"	11115	"M"	82
"8818"	"MVULE"	11115	"M"	83
"6881"	"MPAPAI"	11115	"M"	84
"5345"	"MFENESI"	11115	"M"	85
"6545"	"MMUMUNYA"	11115	"M"	86
"7916"	"MTAKAWA"	11115	"M"	87
"4855"	"MCHOCHA"	11115	"M"	88
"7490"	"MSASA"	11115	"M"	89
"4613"	"MCHEKUNDU"	11115	"M"	90
"4747"	"MCHIKICHI"	11115	"M"	91
"9080"	"MZAMBARAU"	11115	"M"	92
"446"	"CHAA"	11115	"S"	93
"9479"	"NGISI"	11115	"S"	94
"11073"	"PWEZA"	11115	"S"	95
"9758"	"NGUVA"	11115	"S"	96
"3176"	"KUNDAJI"	11115	"S"	97
"10694"	"PONO"	11115	"S"	98
"9202"	"MZIRA"	11115	"S"	99
"4574"	"MCHECHE"	11115	"S"	100
"10654"	"POMBOO"	11115	"S"	101
"10466"	"PAPA"	11115	"S"	102
"1115"	"DOKAA"	11115	"D"	103
"1575"	"KAA"	11115	"D"	104
"616"	"CHANJE"	11115	"N"	105
"1646"	"KAJAKAJA"	11115	"M"	106
"2025"	"KIBOKO"	11115	"W"	107
"3569"	"MAMBA"	11115	"W"	108
"363"	"BULIBULI"	11115	"S"	109
"1762"	"KAMBARE"	11115	"S"	110
"6106"	"MKUNGA"	11115	"S"	111
"8950"	"MWATA"	11115	"D"	112
"10878"	"PUGI"	11115	"N"	113
"9836"	"NJIWA"	11115	"N"	114
"814"	"CHORE"	11115	"N"	115
"11958"	"TONGO"	11115	"N"	116
"11241"	"SAUTI"	11115	"N"	117
"2646"	"KOHO"	11115	"N"	118
"3061"	"KUKU"	11115	"N"	119
"102"	"BATA"	11115	"N"	120
"2365"	"KIPANGA"	11115	"N"	121
"2616"	"KOBEA MINAZI"	11115	"N"	122
"2939"	"KONGO HADIA"	11115	"N"	123
"2911"	"KONGO"	11115	"N"	124
"10531"	"PEDUI"	11115	"N"	125
"11162"	"SALILE"	11115	"N"	126
"3158"	"KUKU ZIWA"	11115	"N"	127
"2258"	"KIJUNGU MALIKO"	11115	"N"	128
"11420"	"SIMBA"	11115	"W"	129
"12212"	"TWIGA"	11115	"W"	130
"951"	"CHUI"	11115	"S"	131
"11639"	"SWALA"	11115	"W"	132
"12447"	"ZEBRA"	11115	"W"	133
"1999"	"KIBOKO"	11115	"W"	134
"3563"	"MAMBA"	11115	"W"	135
"10085"	"NYOKA"	11115	"D"	136
"12073"	"TUMBILI"	11115	"W"	137
"10018"	"NYANI"	11115	"W"	138
"5961"	"MKESHIA"	11115	"M"	139
"8406"	"MUEMBE"	11115	"M"	140
"8571"	"MUEMBE SAKUA"	11115	"M"	141
"4916"	"MCHUNGWA"	11115	"M"	142
"6733"	"MNAZI"	11115	"M"	143
"7702"	"MSHOKISHOKI"	11115	"M"	144
"5544"	"MGOMBA"	11115	"M"	145
"3836"	"MBIE"	11115	"M"	146
"3928"	"MBIRIMBI"	11115	"M"	147
"6202"	"MKUNGU"	11115	"M"	148
"4759"	"MCHIKICHI"	11115	"M"	149
"7378"	"MPUNGA"	11115	"M"	150
"5444"	"MFUU"	11115	"M"	151
"9129"	"MZAMBARAU"	11115	"M"	152
"6408"	"MLIMAU"	11115	"M"	153
"5156"	"MDIMU"	11115	"M"	154
"4270"	"MBUYU"	11115	"M"	155
"6536"	"MMUMUNYA"	11115	"M"	156
"8103"	"MTONDOO"	11115	"M"	157
"5393"	"MFENESI"	11115	"M"	158
"7060"	"MPERA"	11115	"M"	159
"5821"	"MKARAFUU"	11115	"M"	160
"4044"	"MBUNGO"	11115	"M"	161
"7148"	"MPESHENI"	11115	"M"	162
"3770"	"MBELUNGI"	11115	"M"	163
"5962"	"MKESHIA"	11115	"M"	164
"4844"	"MCHOCHA"	11115	"M"	165
"9649"	"NGOMBE"	11589	"W"	1
"10947"	"PUNDA"	11589	"W"	2
"4407"	"MBUZI"	11589	"W"	3
"11608"	"SUNGURA"	11589	"W"	4
"2860"	"KONDOO"	11589	"W"	5
"155"	"BATA"	11589	"N"	6
"3120"	"KUKU"	11589	"N"	7
"9853"	"NJIWA"	11589	"N"	8
"3156"	"KUKU ZIWA"	11589	"N"	9
"3354"	"KWECHE"	11589	"N"	10
"11169"	"SALILE"	11589	"N"	11
"11748"	"TASI"	11589	"S"	12
"10730"	"PONO"	11589	"S"	13
"9210"	"MZIRA"	11589	"S"	14
"2034"	"KIBUA"	11589	"S"	15
"5611"	"MGULELE"	11589	"M"	16
"4620"	"MCHENZA"	11589	"M"	17
"7741"	"MSHOKISHOKI"	11589	"M"	18
"7012"	"MPERA"	11589	"M"	19
"3954"	"MBIRIMBI"	11589	"M"	20
"4926"	"MCHUNGWA"	11589	"M"	21
"3786"	"MBELUNGI"	11589	"M"	22
"8486"	"MUEMBE"	11589	"M"	23
"7591"	"MSHELISHELI"	11589	"M"	24
"4854"	"MCHOCHA"	11589	"M"	25
"5238"	"MFENESI"	11589	"M"	26
"6427"	"MLIMAU"	11589	"M"	27
"9167"	"MZAMBARAU"	11589	"M"	28
"4113"	"MBUNGO"	11589	"M"	29
"5578"	"MGOMBA"	11589	"M"	30
"12072"	"TUMBILI"	11589	"W"	31
"10027"	"NYANI"	11589	"W"	32
"11618"	"SUNGURA"	11589	"W"	33
"1300"	"FUFU"	11589	"N"	34
"9826"	"NJIWA"	11589	"N"	35
"10548"	"PELELE"	11589	"W"	36
"12099"	"TUMBILI"	11589	"W"	37
"4805"	"MCHOCHA"	11589	"M"	38
"4664"	"MCHENZA"	11589	"M"	39
"3961"	"MBIRIMBI"	11589	"M"	40
"7673"	"MSHOKISHOKI"	11589	"M"	41
"8517"	"MUEMBE"	11589	"M"	42
"9102"	"MZAMBARAU"	11589	"M"	43
"5383"	"MFENESI"	11589	"M"	44
"5167"	"MDIMU"	11589	"M"	45
"4935"	"MCHUNGWA"	11589	"M"	46
"11732"	"TASI"	11589	"S"	47
"10707"	"PONO"	11589	"S"	48
"9197"	"MZIRA"	11589	"S"	49
"3154"	"KUKU WA PWANI"	11589	"N"	50
"12065"	"TUMBILI"	11589	"W"	51
"6656"	"MNAZI"	11879	"M"	1
"6879"	"MPAPAI"	11879	"M"	2
"8361"	"MUEMBE"	11879	"M"	3
"8253"	"MTUGUU"	11879	"M"	4
"7660"	"MSHOKISHOKI"	11879	"M"	5
"5251"	"MFENESI"	11879	"M"	6
"5610"	"MGULELE"	11879	"M"	7
"5795"	"MKANJA"	11879	"M"	8
"5583"	"MGOMBA"	11879	"M"	9
"7553"	"MSHELISHELI"	11879	"M"	10
"5470"	"MFUU"	11879	"M"	11
"9120"	"MZAMBARAU"	11879	"M"	12
"5956"	"MKESHIA"	11879	"M"	13
"3870"	"MBILINGANI"	11879	"M"	14
"8944"	"MWASMINI"	11879	"M"	15
"3745"	"MBELUNGI"	11879	"M"	16
"8600"	"MUHINA"	11879	"M"	17
"8327"	"MUA"	11879	"M"	18
"5631"	"MIWA"	11879	"M"	19
"4008"	"MBONO"	11879	"S"	20
"7419"	"MRANGA MAKELELE"	11879	"M"	21
"5360"	"MFENESI"	11879	"M"	22
"3111"	"KUKU"	11879	"N"	23
"159"	"BATA"	11879	"N"	24
"11285"	"SEHEWA"	11879	"S"	25
"11975"	"TONGO"	11879	"N"	26
"3341"	"KWECHE"	11879	"N"	27
"2245"	"KIJUNGU MAFUTA"	11879	"S"	28
"11327"	"SEHEWA"	11879	"S"	29
"171"	"BATA MZINGA"	11879	"N"	30
"1807"	"KANGA"	11879	"N"	31
"2210"	"KIJIMBI MSITU"	11879	"N"	32
"6938"	"MPARACHICHI"	11879	"M"	33
"11556"	"SISIMIZI"	11879	"D"	34
"10253"	"NZI"	11879	"N"	35
"10244"	"NZI"	11879	"N"	36
"8657"	"MUHOGO"	11879	"M"	37
"11568"	"SISIMIZI MBIOMBIO"	11879	"D"	38
"3287"	"KWARARA"	11879	"N"	39
"3444"	"KWEMBE"	11879	"N"	40
"10769"	"POPO"	11879	"N"	41
"2655"	"KOHO"	11879	"N"	42
"8751"	"MVINJE"	11879	"M"	43
"6439"	"MLIMAU"	11879	"M"	44
"5173"	"MDIMU"	11879	"M"	45
"4917"	"MCHUNGWA"	11879	"M"	46
"1975"	"KIAZI"	11879	"M"	47
"8069"	"MTIKTI"	11879	"M"	48
"7962"	"MTANGO"	11879	"M"	49
"4153"	"MBUNI"	11879	"N"	50
"8608"	"MUHINA"	11879	"M"	51
"9060"	"MZAITUNI"	11879	"M"	52
"9284"	"NDIZI"	11879	"M"	53
"6855"	"MPAPAI"	11879	"M"	54
"7550"	"MSHELISHELI"	11879	"M"	55
"11938"	"TONDO"	11879	"D"	56
"10376"	"PANGA"	11879	"D"	57
"679"	"CHAZA"	11879	"D"	58
"2819"	"KOME"	11879	"D"	59
"2817"	"KOMBE"	11879	"D"	60
"9227"	"MZIRA"	11879	"S"	61
"11365"	"SEHEWA"	11879	"S"	62
"9516"	"NGOGO"	11879	"S"	63
"1591"	"KAA"	11879	"D"	64
"595"	"CHANJE"	11879	"N"	65
"1308"	"FUKULILE"	11879	"D"	66
"2673"	"KOKOKO"	11879	"D"	67
"2238"	"KIJUNGU MAFUTA"	11879	"S"	68
"9890"	"NJIWA MANGA"	11879	"N"	69
"9821"	"NJIWA"	11879	"N"	70
"9869"	"NJIWA"	11879	"N"	71
"3597"	"MANJA"	11879	"N"	72
"7412"	"MRAMBA"	11879	"N"	73
"4003"	"MBONO"	11879	"S"	74
"4110"	"MBUNGO"	11879	"M"	75
"7338"	"MPO"	11879	"M"	76
"6918"	"MPAPINDI"	11879	"M"	77
"4689"	"MCHENZA MSITU"	11879	"M"	78
"4658"	"MCHENZA"	11879	"M"	79
"5300"	"MFENESI"	11879	"M"	80
"5390"	"MFENESI"	11879	"M"	81
"1075"	"DAKTARI WA NGOMBE"	11879	"N"	82
"2969"	"KONGO MAJOKA"	11879	"N"	83
"2936"	"KONGO HADIA"	11879	"N"	84
"2989"	"KONGO WEUPE"	11879	"N"	85
"10097"	"NYOKA"	11879	"D"	86
"1000"	"CHURA"	11879	"D"	87
"2324"	"KINYONGA"	11879	"D"	88
