Subj	Order	Code	Age	Gender	SES	Believe_God	Rej_Church
10	7	Pope	3	1	3	1	0
10	8	Communion	3	1	3	1	0
10	9	Sacraments/Rites of Passage	3	1	3	1	0
10	10	Sacraments/Rites of Passage	3	1	3	1	0
10	11	Sacraments/Rites of Passage	3	1	3	1	0
10	12	Jesus	3	1	3	1	0
10	13	Christmas/Other Religious Occasion	3	1	3	1	0
10	14	Confession	3	1	3	1	0
10	15	Fear	3	1	3	1	0
11	1	Patriarchal/Misogynist	5	1	3	0	1
11	2	Abuse/Paedophilia	5	1	3	0	1
11	3	Insular/Detached	5	1	3	0	1
11	4	Insular/Detached	5	1	3	0	1
11	5	Outdated/Conservative	5	1	3	0	1
12	1	Abuse/Paedophilia	3	1	1	0	1
12	2	Corrupt/Materialistic	3	1	1	0	1
12	3	Authoritarian/Dominant	3	1	1	0	1
12	4	Patriarchal/Misogynist	3	1	1	0	1
12	5	Corrupt/Materialistic	3	1	1	0	1
12	6	Corrupt/Materialistic	3	1	1	0	1
13	1	Clergy	5	2	2	1	0
13	2	Clergy	5	2	2	1	0
13	3	Mass	5	2	2	1	0
13	4	Other Rituals	5	2	2	1	0
13	5	Authoritarian/Dominant	5	2	2	1	0
13	6	Scandal	5	2	2	1	0
13	7	Patriarchal/Misogynist	5	2	2	1	0
13	8	Cover-up/Secrecy	5	2	2	1	0
13	9	Authoritarian/Dominant	5	2	2	1	0
13	10	Charity	5	2	2	1	0
13	11	Missionaries	5	2	2	1	0
13	12	Outdated/Conservative	5	2	2	1	0
13	13	Education System	5	2	2	1	0
13	14	Confession	5	2	2	1	0
13	15	Guilt	5	2	2	1	0
13	16	Prayer	5	2	2	1	0
14	1	Nonsense/Fiction	1	1	6	0	1
14	2	Nonsense/Fiction	1	1	6	0	1
14	3	Routine/Habit	1	1	6	0	1
15	1	Outdated/Conservative	1	2	2	1	1
15	2	Old People	1	2	2	1	1
15	3	Outdated/Conservative	1	2	2	1	1
16	1	Churches/Buildings	2	2	2	1	0
16	2	Communion	2	2	2	1	0
16	3	Prayer	2	2	2	1	0
16	4	Community	2	2	2	1	0
16	5	Tradition	2	2	2	1	0
16	6	Clergy	2	2	2	1	0
16	7	Nuns	2	2	2	1	0
16	8	Education System	2	2	2	1	0
16	9	Sacraments/Rites of Passage	2	2	2	1	0
16	10	Sacraments/Rites of Passage	2	2	2	1	0
16	11	Sacraments/Rites of Passage	2	2	2	1	0
16	12	Corrupt/Materialistic	2	2	2	1	0
16	13	Corrupt/Materialistic	2	2	2	1	0
16	14	Choir/Music	2	2	2	1	0
16	15	Mass	2	2	2	1	0
16	16	Sacraments/Rites of Passage	2	2	2	1	0
16	17	Bible/Gospel	2	2	2	1	0
16	18	Old People	2	2	2	1	0
16	19	Prayer	2	2	2	1	0
16	20	Prayer	2	2	2	1	0
16	21	Donations/Collections	2	2	2	1	0
16	22	Authoritarian/Dominant	2	2	2	1	0
17	1	Sacraments/Rites of Passage	3	2	8	1	1
17	2	Sacraments/Rites of Passage	3	2	8	1	1
17	3	Sacraments/Rites of Passage	3	2	8	1	1
17	4	Christmas/Other Religious Occasion	3	2	8	1	1
17	5	Clergy	3	2	8	1	1
17	6	Candles	3	2	8	1	1
17	7	Religious Artifacts	3	2	8	1	1
17	8	Corrupt/Materialistic	3	2	8	1	1
17	9	Children	3	2	8	1	1
17	10	Education System	3	2	8	1	1
17	11	Nuns	3	2	8	1	1
17	12	Churches/Buildings	3	2	8	1	1
17	13	Confession	3	2	8	1	1
17	14	Sacraments/Rites of Passage	3	2	8	1	1
18	1	Fear	4	1	9	1	1
18	2	Indoctrination	4	1	9	1	1
18	3	Bad/Immoral	4	1	9	1	1
18	4	Authoritarian/Dominant	4	1	9	1	1
18	5	Indoctrination	4	1	9	1	1
18	6	Authoritarian/Dominant	4	1	9	1	1
19	1	Clergy	3	2	10	1	1
19	2	Donations/Collections	3	2	10	1	1
19	3	Education System	3	2	10	1	1
19	4	Religion	3	2	10	1	1
19	5	Belief/Faith	3	2	10	1	1
19	6	Forgiveness	3	2	10	1	1
19	7	Belief/Faith	3	2	10	1	1
19	8	Comforting/Caring	3	2	10	1	1
20	1	Media	4	2	2	1	0
20	2	Tradition	4	2	2	1	0
20	3	Declining	4	2	2	1	0
20	4	Old People	4	2	2	1	0
20	5	Let down/Betrayed	4	2	2	1	0
20	6	Insular/Detached	4	2	2	1	0
20	7	Comforting/Caring	4	2	2	1	0
20	8	Community	4	2	2	1	0
21	1	Jesus	4	2	8	1	1
21	2	Clergy	4	2	8	1	1
21	3	Communion	4	2	8	1	1
21	4	Sacraments/Rites of Passage	4	2	8	1	1
21	5	Prayer	4	2	8	1	1
21	6	Candles	4	2	8	1	1
21	7	Prayer	4	2	8	1	1
21	8	Sacraments/Rites of Passage	4	2	8	1	1
21	9	Community	4	2	8	1	1
21	10	Sacraments/Rites of Passage	4	2	8	1	1
21	11	Mass	4	2	8	1	1
21	12	Abuse/Paedophilia	4	2	8	1	1
21	13	Altar Boys	4	2	8	1	1
21	14	Christmas/Other Religious Occasion	4	2	8	1	1
22	1	Abuse/Paedophilia	3	2	3	0	1
22	2	Clergy	3	2	3	0	1
22	3	Corrupt/Materialistic	3	2	3	0	1
22	4	Vatican/Overall Structure	3	2	3	0	1
22	5	Vatican/Overall Structure	3	2	3	0	1
22	6	Vatican/Overall Structure	3	2	3	0	1
22	7	Patriarchal/Misogynist	3	2	3	0	1
22	8	Nuns	3	2	3	0	1
22	9	Choir/Music	3	2	3	0	1
22	10	Education System	3	2	3	0	1
22	11	Charity	3	2	3	0	1
22	12	Authoritarian/Dominant	3	2	3	0	1
22	13	Authoritarian/Dominant	3	2	3	0	1
22	14	Tradition	3	2	3	0	1
22	15	Churches/Buildings	3	2	3	0	1
22	16	Authoritarian/Dominant	3	2	3	0	1
22	17	Afterlife	3	2	3	0	1
22	18	Afterlife	3	2	3	0	1
22	19	Afterlife	3	2	3	0	1
22	20	Afterlife	3	2	3	0	1
22	21	Sin	3	2	3	0	1
22	22	Children	3	2	3	0	1
22	23	Judas	3	2	3	0	1
22	24	Christmas/Other Religious Occasion	3	2	3	0	1
22	25	Christmas/Other Religious Occasion	3	2	3	0	1
22	26	Christmas/Other Religious Occasion	3	2	3	0	1
22	27	Religious Artifact	3	2	3	0	1
22	28	Nonsense/Fiction	3	2	3	0	1
22	29	Nonsense/Fiction	3	2	3	0	1
22	30	Nonsense/Fiction	3	2	3	0	1
23	1	God	5	1	5	1	0
23	2	Jesus	5	1	5	1	0
23	3	Jesus	5	1	5	1	0
23	4	Clergy	5	1	5	1	0
23	5	Nuns	5	1	5	1	0
23	6	Pope	5	1	5	1	0
23	7	Churches/Buildings	5	1	5	1	0
23	8	Mass	5	1	5	1	0
23	9	Good/Holy	5	1	5	1	0
23	10	Sacraments/Rites of Passage	5	1	5	1	0
23	11	Sacraments/Rites of Passage	5	1	5	1	0
23	12	Sacraments/Rites of Passage	5	1	5	1	0
23	13	Communion	5	1	5	1	0
23	14	Community	5	1	5	1	0
23	15	Christmas/Other Religious Occasion	5	1	5	1	0
23	16	Vatican/Overall Structure	5	1	5	1	0
23	17	Christmas/Other Religious Occasion	5	1	5	1	0
23	18	Christmas/Other Religious Occasion	5	1	5	1	0
23	19	Confession	5	1	5	1	0
23	20	Religious Artifacts	5	1	5	1	0
24	1	Sacraments/Rites of Passage	4	2	2	1	0
24	2	Communion	4	2	2	1	0
24	3	Communion	4	2	2	1	0
24	4	Sacraments/Rites of Passage	4	2	2	1	0
24	5	Mass	4	2	2	1	0
24	6	Sacraments/Rites of Passage	4	2	2	1	0
24	7	Confession	4	2	2	1	0
24	8	Sacraments/Rites of Passage	4	2	2	1	0
24	9	Sacraments/Rites of Passage	4	2	2	1	0
24	10	Clergy	4	2	2	1	0
24	11	Clergy	4	2	2	1	0
24	12	Clergy	4	2	2	1	0
24	13	Pope	4	2	2	1	0
24	14	Communion	4	2	2	1	0
24	15	Communion	4	2	2	1	0
24	16	Christmas/Other Religious Occasion	4	2	2	1	0
24	17	Jesus	4	2	2	1	0
24	18	Christmas/Other Religious Occasion	4	2	2	1	0
24	19	Other Theological/Scriptural Association	4	2	2	1	0
24	20	Christmas/Other Religious Occasion	4	2	2	1	0
24	21	Christmas/Other Religious Occasion	4	2	2	1	0
25	1	Morality	1	2	10	1	1
25	2	Confession	1	2	10	1	1
25	3	Sin	1	2	10	1	1
25	4	Jesus	1	2	10	1	1
25	5	Forgiveness	1	2	10	1	1
25	6	Forgiveness	1	2	10	1	1
25	7	Morality	1	2	10	1	1
25	8	God	1	2	10	1	1
25	9	Communion	1	2	10	1	1
25	10	Sacraments/Rites of Passage	1	2	10	1	1
25	11	Church	1	2	10	1	1
25	12	Sacraments/Rites of Passage	1	2	10	1	1
25	13	Nuns	1	2	10	1	1
25	14	Clergy	1	2	10	1	1
25	15	Sunday	1	2	10	1	1
25	16	Christmas/Other Religious Occasion	1	2	10	1	1
25	17	Christmas/Other Religious Occasion	1	2	10	1	1
25	18	Other Theological/Scriptural Association	1	2	10	1	1
25	19	Other Theological/Scriptural Association	1	2	10	1	1
25	20	Mary	1	2	10	1	1
25	21	Joseph	1	2	10	1	1
25	22	Other Theological/Scriptural Association	1	2	10	1	1
26	1	Arrogance	4	2	2	0	1
26	2	Outdated/Conservative	4	2	2	0	1
26	3	Patriarchal/Misogynist	4	2	2	0	1
26	4	Abuse/Paedophilia	4	2	2	0	1
26	5	Corrupt/Materialistic	4	2	2	0	1
26	6	Saints	4	2	2	0	1
26	7	Nuns	4	2	2	0	1
26	8	Altar Boys	4	2	2	0	1
26	9	Outdated/Conservative	4	2	2	0	1
26	10	Abortion	4	2	2	0	1
26	11	Corrupt/Materialistic	4	2	2	0	1
26	12	Old People	4	2	2	0	1
26	13	Declining	4	2	2	0	1
26	14	Mass	4	2	2	0	1
26	15	Communion	4	2	2	0	1
26	16	Churches/Buildings	4	2	2	0	1
26	17	Outdated/Conservative	4	2	2	0	1
26	18	Stoic	4	2	2	0	1
26	19	Charity	4	2	2	0	1
26	20	Charity	4	2	2	0	1
27	1	Abuse/Paedophilia	3	1	3	0	1
27	2	Nonsense/Fiction	3	1	3	0	1
27	3	Hypocrisy	3	1	3	0	1
27	4	Morality	3	1	3	0	1
27	5	Clergy	3	1	3	0	1
27	6	Cover-up/Secrecy	3	1	3	0	1
27	7	Dishonest/Untrustworthy	3	1	3	0	1
27	8	Corrupt/Materialistic	3	1	3	0	1
27	9	Afterlife	3	1	3	0	1
27	10	Afterlife	3	1	3	0	1
27	11	Jesus	3	1	3	0	1
27	12	Christmas/Other Religious Occasion	3	1	3	0	1
27	13	Other Theological/Scriptural Association	3	1	3	0	1
27	14	Bible/Gospel	3	1	3	0	1
27	15	Shame/Disgust	3	1	3	0	1
27	16	Nonsense/Fiction	3	1	3	0	1
27	17	Agnostic	3	1	3	0	1
27	18	Dishonest/Untrustworthy	3	1	3	0	1
27	19	Nonsense/Fiction	3	1	3	0	1
27	20	Outdated/Conservative	3	1	3	0	1
27	21	Insular/Detached	3	1	3	0	1
28	1	Churches/Buildings	3	1	4	0	1
28	2	Clergy	3	1	4	0	1
28	3	Old People	3	1	4	0	1
28	4	Outdated/Conservative	3	1	4	0	1
28	5	Religion	3	1	4	0	1
28	6	Nuns	3	1	4	0	1
28	7	Education System	3	1	4	0	1
28	8	Mass	3	1	4	0	1
28	9	Confession	3	1	4	0	1
28	10	Communion	3	1	4	0	1
28	11	Sacraments/Rites of Passage	3	1	4	0	1
28	12	Sacraments/Rites of Passage	3	1	4	0	1
28	13	Boring	3	1	4	0	1
28	14	Teaching	3	1	4	0	1
28	15	Stigma	3	1	4	0	1
28	16	Media	3	1	4	0	1
28	17	Diocese/Parish	3	1	4	0	1
28	18	Pope	3	1	4	0	1
28	19	Vatican/Overall Structure	3	1	4	0	1
28	20	Clergy	3	1	4	0	1
29	1	Corrupt/Materialistic	2	2	6	1	1
29	2	Nonsense/Fiction	2	2	6	1	1
29	3	Abuse/Paedophilia	2	2	6	1	1
29	4	Clergy	2	2	6	1	1
29	5	Homosexuality	2	2	6	1	1
29	6	Dishonest/Untrustworthy	2	2	6	1	1
29	7	Good/Holy	2	2	6	1	1
29	8	Good/Holy	2	2	6	1	1
29	9	Comforting/Caring	2	2	6	1	1
29	10	Old People	2	2	6	1	1
29	11	Old People	2	2	6	1	1
29	12	Unappealing	2	2	6	1	1
29	13	Declining	2	2	6	1	1
29	14	Candles	2	2	6	1	1
29	15	Corrupt/Materialistic	2	2	6	1	1
29	16	Sadness	2	2	6	1	1
29	17	Sadness	2	2	6	1	1
29	18	Sadness	2	2	6	1	1
29	19	Insular/Detached	2	2	6	1	1
29	20	Bad/Immoral	2	2	6	1	1
30	1	Pope	2	1	5	0	1
30	2	Clergy	2	1	5	0	1
30	3	Big	2	1	5	0	1
30	4	Churches/Buildings	2	1	5	0	1
30	5	Belief/Faith	2	1	5	0	1
30	6	Prayer	2	1	5	0	1
30	7	Self-denial	2	1	5	0	1
30	8	Nonsense/Fiction	2	1	5	0	1
30	9	Charity	2	1	5	0	1
30	10	Old People	2	1	5	0	1
30	11	Churches/Buildings	2	1	5	0	1
31	1	Mass	5	2	4	1	0
31	2	Clergy	5	2	4	1	0
31	3	Clergy	5	2	4	1	0
31	4	Pope	5	2	4	1	0
31	5	Vatican/Overall Structure	5	2	4	1	0
31	6	Missionaries	5	2	4	1	0
31	7	Vatican/Overall Structure	5	2	4	1	0
31	8	Churches/Buildings	5	2	4	1	0
31	9	Churches/Buildings	5	2	4	1	0
31	10	Donations/Collections	5	2	4	1	0
31	11	Mass	5	2	4	1	0
31	12	Christmas/Other Religious Occasion	5	2	4	1	0
31	13	Christmas/Other Religious Occasion	5	2	4	1	0
31	14	Christmas/Other Religious Occasion	5	2	4	1	0
31	15	Money	5	2	4	1	0
32	1	Mass	5	1	3	1	0
32	2	Communion	5	1	3	1	0
32	3	Comforting/Caring	5	1	3	1	0
32	4	Sacraments/Rites of Passage	5	1	3	1	0
32	5	Sacraments/Rites of Passage	5	1	3	1	0
32	6	Sacraments/Rites of Passage	5	1	3	1	0
32	7	Sacraments/Rites of Passage	5	1	3	1	0
32	8	Community	5	1	3	1	0
32	9	Comforting/Caring	5	1	3	1	0
32	10	Comforting/Caring	5	1	3	1	0
32	11	Sadness	5	1	3	1	0
32	12	Community	5	1	3	1	0
32	13	Comforting/Caring	5	1	3	1	0
32	14	Comforting/Caring	5	1	3	1	0
32	15	Good/Holy	5	1	3	1	0
32	16	Forgiveness	5	1	3	1	0
32	17	Piety	5	1	3	1	0
32	18	Comforting/Caring	5	1	3	1	0
32	19	Comforting/Caring	5	1	3	1	0
32	20	Comforting/Caring	5	1	3	1	0
32	21	Comforting/Caring	5	1	3	1	0
33	1	Education System	3	1	2	0	1
33	2	Clergy	3	1	2	0	1
33	3	Religion	3	1	2	0	1
33	4	Abuse/Paedophilia	3	1	2	0	1
33	5	Vatican/Overall Structure	3	1	2	0	1
33	6	Hypocrisy	3	1	2	0	1
33	7	Patriarchal/Misogynist	3	1	2	0	1
33	8	Outdated/Conservative	3	1	2	0	1
33	9	Corrupt/Materialistic	3	1	2	0	1
33	10	Bigotry	3	1	2	0	1
33	11	Charity	3	1	2	0	1
33	12	Mass	3	1	2	0	1
33	13	Sacraments/Rites of Passage	3	1	2	0	1
33	14	Sacraments/Rites of Passage	3	1	2	0	1
33	15	Old People	3	1	2	0	1
33	16	Traditional	3	1	2	0	1
33	17	Outdated/Conservative	3	1	2	0	1
33	18	Uncaring	3	1	2	0	1
33	19	Outdated/Conservative	3	1	2	0	1
33	20	Churches/Buildings	3	1	2	0	1
34	1	Abuse/Paedophilia	2	1	5	1	1
34	2	Abuse/Paedophilia	2	1	5	1	1
34	3	Corrupt/Materialistic	2	1	5	1	1
34	4	Boring	2	1	5	1	1
34	5	Corrupt/Materialistic	2	1	5	1	1
34	6	Outdated/Conservative	2	1	5	1	1
34	7	Corrupt/Materialistic	2	1	5	1	1
34	8	Authoritarian/Dominant	2	1	5	1	1
34	9	Corrupt/Materialistic	2	1	5	1	1
34	10	Abuse/Paedophilia	2	1	5	1	1
34	11	Cover-up/Secrecy	2	1	5	1	1
34	12	Corrupt/Materialistic	2	1	5	1	1
34	13	Declining	2	1	5	1	1
34	14	Old People	2	1	5	1	1
34	15	Tradition	2	1	5	1	1
34	16	Jesus	2	1	5	1	1
34	17	Mary	2	1	5	1	1
34	18	Joseph	2	1	5	1	1
34	19	Other Theological/Scriptural Association	2	1	5	1	1
34	20	Other Theological/Scriptural Association	2	1	5	1	1
35	1	Abuse/Paedophilia	2	1	3	0	1
35	2	Sex	2	1	3	0	1
35	3	Authoritarian/Dominant	2	1	3	0	1
35	4	Property	2	1	3	0	1
35	5	Authoritarian/Dominant	2	1	3	0	1
35	6	Patriarchal/Misogynist	2	1	3	0	1
35	7	State Influence	2	1	3	0	1
35	8	Outdated/Conservative	2	1	3	0	1
35	9	Bigotry	2	1	3	0	1
35	10	Bigotry	2	1	3	0	1
35	11	Sectarian	2	1	3	0	1
35	12	Education System	2	1	3	0	1
35	13	Tradition	2	1	3	0	1
35	14	Vatican/Overall Structure	2	1	3	0	1
35	15	Vatican/Overall Structure	2	1	3	0	1
35	16	Pope	2	1	3	0	1
35	17	Parochialism	2	1	3	0	1
35	18	Maynooth	2	1	3	0	1
35	19	Death	2	1	3	0	1
35	20	Abortion	2	1	3	0	1
35	21	Bigotry	2	1	3	0	1
35	22	Patriarchal/Misogynist	2	1	3	0	1
35	23	Celibacy	2	1	3	0	1
35	24	Obsession	2	1	3	0	1
36	1	Corrupt/Materialistic	4	1	2	0	0
36	2	Outdated/Conservative	4	1	2	0	0
36	3	Boring	4	1	2	0	0
36	4	Authoritarian/Dominant	4	1	2	0	0
36	5	Corrupt/Materialistic	4	1	2	0	0
36	6	Old People	4	1	2	0	0
36	7	Nonsense/Fiction	4	1	2	0	0
36	8	Outdated/Conservative	4	1	2	0	0
36	9	Corrupt/Materialistic	4	1	2	0	0
36	10	Uncaring	4	1	2	0	0
36	11	Authoritarian/Dominant	4	1	2	0	0
36	12	Strange	4	1	2	0	0
36	13	Outdated/Conservative	4	1	2	0	0
36	14	Insular/Detached	4	1	2	0	0
36	15	Arrogance	4	1	2	0	0
36	16	Uncaring	4	1	2	0	0
36	17	Boring	4	1	2	0	0
36	18	Outdated/Conservative	4	1	2	0	0
36	19	Uncaring	4	1	2	0	0
36	20	Outdated/Conservative	4	1	2	0	0
37	1	Corrupt/Materialistic	2	2	3	0	1
37	2	Abuse/Paedophilia	2	2	3	0	1
37	3	Vatican/Overall Structure	2	2	3	0	1
37	4	Pope	2	2	3	0	1
37	5	Education System	2	2	3	0	1
37	6	Abuse/Paedophilia	2	2	3	0	1
37	7	Children	2	2	3	0	1
37	8	Clergy	2	2	3	0	1
37	9	Nuns	2	2	3	0	1
37	10	Fear	2	2	3	0	1
37	11	Authoritarian/Dominant	2	2	3	0	1
37	12	Bigotry	2	2	3	0	1
38	1	Declining	5	1	2	1	0
38	2	Declining	5	1	2	1	0
38	3	Declining	5	1	2	1	0
38	4	Tradition	5	1	2	1	0
38	5	Outdated/Conservative	5	1	2	1	0
38	6	Uncaring	5	1	2	1	0
38	7	Sadness	5	1	2	1	0
38	8	Outdated/Conservative	5	1	2	1	0
38	9	Declining	5	1	2	1	0
38	10	Declining	5	1	2	1	0
38	11	Declining	5	1	2	1	0
38	12	Declining	5	1	2	1	0
38	13	Insular/Detached	5	1	2	1	0
38	14	Declining	5	1	2	1	0
38	15	Insular/Detached	5	1	2	1	0
38	16	Shame/Disgust	5	1	2	1	0
38	17	Shame/Disgust	5	1	2	1	0
38	18	Fear	5	1	2	1	0
38	19	Declining	5	1	2	1	0
38	20	Declining	5	1	2	1	0
39	1	Mass	2	2	3	0	1
39	2	Churches/Buildings	2	2	3	0	1
39	3	Prayer	2	2	3	0	1
39	4	Pope	2	2	3	0	1
39	5	Mass	2	2	3	0	1
39	6	Sacraments/Rites of Passage	2	2	3	0	1
39	7	Sacraments/Rites of Passage	2	2	3	0	1
39	8	Sacraments/Rites of Passage	2	2	3	0	1
39	9	Sacraments/Rites of Passage	2	2	3	0	1
39	10	Sacraments/Rites of Passage	2	2	3	0	1
39	11	Confession	2	2	3	0	1
39	12	Clergy	2	2	3	0	1
39	13	Nuns	2	2	3	0	1
39	14	Vatican/Overall Structure	2	2	3	0	1
39	15	Other Theological/Scriptural Association	2	2	3	0	1
39	16	Afterlife	2	2	3	0	1
39	17	Bible/Gospel	2	2	3	0	1
39	18	God	2	2	3	0	1
39	19	Mary	2	2	3	0	1
39	20	Jesus	2	2	3	0	1
40	1	Mass	4	1	3	0	0
40	2	Pope	4	1	3	0	0
40	3	Sacraments/Rites of Passage	4	1	3	0	0
40	4	Sacraments/Rites of Passage	4	1	3	0	0
40	5	Clergy	4	1	3	0	0
40	6	Nuns	4	1	3	0	0
40	7	Clergy	4	1	3	0	0
40	8	Vatican/Overall Structure	4	1	3	0	0
40	9	Money	4	1	3	0	0
40	10	Corrupt/Materialistic	4	1	3	0	0
40	11	Crusades	4	1	3	0	0
40	12	Abuse/Paedophilia	4	1	3	0	0
40	13	Northern IreProperty	4	1	3	0	0
40	14	Sectarian	4	1	3	0	0
40	15	The Cross	4	1	3	0	0
40	16	Jesus	4	1	3	0	0
40	17	Confession	4	1	3	0	0
41	1	Mass	1	2	2	0	1
41	2	Clergy	1	2	2	0	1
41	3	Scandal	1	2	2	0	1
41	4	Authoritarian/Dominant	1	2	2	0	1
41	5	Bad/Immoral	1	2	2	0	1
41	6	Old People	1	2	2	0	1
41	7	Irrelevant	1	2	2	0	1
41	8	Nonsense/Fiction	1	2	2	0	1
41	9	Outdated/Conservative	1	2	2	0	1
41	10	Outdated/Conservative	1	2	2	0	1
41	11	Boring	1	2	2	0	1
41	12	Corrupt/Materialistic	1	2	2	0	1
41	13	Abuse/Paedophilia	1	2	2	0	1
41	14	Churches/Buildings	1	2	2	0	1
41	15	Uncaring	1	2	2	0	1
41	16	Candles	1	2	2	0	1
41	17	Nuns	1	2	2	0	1
41	18	Oppressive Institutions (Laundries. etc.)	1	2	2	0	1
41	19	Celibacy	1	2	2	0	1
41	20	Declining	1	2	2	0	1
42	1	Abuse/Paedophilia	2	2	3	1	1
42	2	Clergy	2	2	3	1	1
42	3	Nuns	2	2	3	1	1
42	4	Sacraments/Rites of Passage	2	2	3	1	1
42	5	Sacraments/Rites of Passage	2	2	3	1	1
42	6	Sectarian	2	2	3	1	1
42	7	Authoritarian/Dominant	2	2	3	1	1
42	8	Insular/Detached	2	2	3	1	1
42	9	Confession	2	2	3	1	1
42	10	Communion	2	2	3	1	1
42	11	Sacraments/Rites of Passage	2	2	3	1	1
42	12	Sacraments/Rites of Passage	2	2	3	1	1
42	13	Churches/Buildings	2	2	3	1	1
42	14	Churches/Buildings	2	2	3	1	1
42	15	Pope	2	2	3	1	1
42	16	Clergy	2	2	3	1	1
42	17	Religious Artifacts	2	2	3	1	1
42	18	Communion	2	2	3	1	1
42	19	Communion	2	2	3	1	1
42	20	Communion	2	2	3	1	1
43	1	Troubled	3	1	2	1	0
43	2	Reforming/Changing	3	1	2	1	0
43	3	Troubled	3	1	2	1	0
43	4	Stigma	3	1	2	1	0
43	5	Abuse/Paedophilia	3	1	2	1	0
43	6	Stigma	3	1	2	1	0
43	7	Cover-up/Secrecy	3	1	2	1	0
43	8	Silence	3	1	2	1	0
43	9	Stigma	3	1	2	1	0
43	10	Clericalism	3	1	2	1	0
43	11	Clericalism	3	1	2	1	0
43	12	Reform needed	3	1	2	1	0
43	13	No balls	3	1	2	1	0
43	14	Morality	3	1	2	1	0
43	15	Fear	3	1	2	1	0
43	16	Stigma	3	1	2	1	0
43	17	Shame/Disgust	3	1	2	1	0
43	18	Uncaring	3	1	2	1	0
43	19	Charity	3	1	2	1	0
43	20	Forgiveness	3	1	2	1	0
44	1	Mass	3	2	8	1	0
44	2	Churches/Buildings	3	2	8	1	0
44	3	Clergy	3	2	8	1	0
44	4	Sacraments/Rites of Passage	3	2	8	1	0
44	5	Communion	3	2	8	1	0
44	6	Sacraments/Rites of Passage	3	2	8	1	0
44	7	Readings	3	2	8	1	0
44	8	Bible/Gospel	3	2	8	1	0
44	9	Community	3	2	8	1	0
44	10	Other Theological/Scriptural Association	3	2	8	1	0
44	11	Jesus	3	2	8	1	0
44	12	Mary	3	2	8	1	0
44	13	Joseph	3	2	8	1	0
44	14	Other Theological/Scriptural Association	3	2	8	1	0
44	15	Communion	3	2	8	1	0
44	16	Communion	3	2	8	1	0
44	17	Communion	3	2	8	1	0
44	18	Choir/Music	3	2	8	1	0
44	19	Choir/Music	3	2	8	1	0
44	20	God	3	2	8	1	0
